price	timestamp
61180.94	2024-05-09 08:00:02
61162.91	2024-05-09 08:05:02
61224.21	2024-05-09 08:10:03
61219.65	2024-05-09 08:15:02
61194.22	2024-05-09 08:20:03
61244.72	2024-05-09 08:25:02
61194.22	2024-05-09 08:30:01
61354.13	2024-05-09 08:35:02
61361.77	2024-05-09 08:40:02
61357.38	2024-05-09 08:45:02
61414.71	2024-05-09 08:50:02
61377.76	2024-05-09 08:55:02
61410.07	2024-05-09 09:00:02
61403.90	2024-05-09 09:05:01
61421.39	2024-05-09 09:10:02
61476.86	2024-05-09 09:15:02
61457.91	2024-05-09 09:20:03
61467.51	2024-05-09 09:25:01
61467.51	2024-05-09 09:30:02
61451.05	2024-05-09 09:35:02
61458.55	2024-05-09 09:40:02
61408.52	2024-05-09 09:45:02
61429.44	2024-05-09 09:50:03
61466.70	2024-05-09 09:55:02
61497.15	2024-05-09 10:00:02
61522.35	2024-05-09 10:05:02
61496.02	2024-05-09 10:10:02
61505.70	2024-05-09 10:15:06
61512.82	2024-05-09 10:20:02
61531.75	2024-05-09 10:25:02
61565.21	2024-05-09 10:30:02
61582.33	2024-05-09 10:35:03
61600.49	2024-05-09 10:40:02
61638.95	2024-05-09 10:45:02
61634.79	2024-05-09 10:50:02
61636.09	2024-05-09 10:55:02
61640.91	2024-05-09 11:00:02
61635.53	2024-05-09 11:05:02
61712.73	2024-05-09 11:10:02
61674.49	2024-05-09 11:15:03
61530.92	2024-05-09 11:20:01
61443.56	2024-05-09 11:25:02
61425.30	2024-05-09 11:30:02
61582.61	2024-05-09 11:35:02
61574.13	2024-05-09 11:40:01
61616.34	2024-05-09 11:45:01
61615.39	2024-05-09 11:50:06
61596.51	2024-05-09 11:55:02
61650.66	2024-05-09 12:00:02
61658.09	2024-05-09 12:05:02
61702.20	2024-05-09 12:10:06
61712.34	2024-05-09 12:15:02
61720.20	2024-05-09 12:20:03
61645.77	2024-05-09 12:25:03
61590.44	2024-05-09 12:30:02
61425.92	2024-05-09 12:35:03
61535.20	2024-05-09 12:40:02
61566.81	2024-05-09 12:45:02
61533.33	2024-05-09 12:50:02
61540.37	2024-05-09 12:55:02
61515.14	2024-05-09 13:00:07
61515.70	2024-05-09 13:05:02
61514.58	2024-05-09 13:10:03
61542.43	2024-05-09 13:15:03
61548.40	2024-05-09 13:20:02
61622.04	2024-05-09 13:25:02
61634.86	2024-05-09 13:30:02
61627.94	2024-05-09 15:00:04
61627.94	2024-05-09 15:00:01
61584.89	2024-05-09 15:05:02
61546.18	2024-05-09 15:10:03
61480.42	2024-05-09 15:15:01
61470.59	2024-05-09 15:20:03
61498.93	2024-05-09 15:25:02
61515.85	2024-05-09 15:30:01
61453.47	2024-05-09 15:35:02
61457.92	2024-05-09 15:40:02
61379.13	2024-05-09 15:45:02
61321.12	2024-05-09 15:50:01
61287.85	2024-05-09 15:55:02
